Data Medicao,Hora Medicao,RADIACAO GLOBAL(Kj/m²),TEMPERATURA DO AR - BULBO SECO HORARIA(°C),TEMPERATURA DO AR - BULBO SECO HORARIA(°C),VENTO  RAJADA MAXIMA(m/s)
1/1/2015,0:00:00,null,25.2,80,5
1/1/2015,1:00:00,null,24.5,84,3.7
1/1/2015,2:00:00,null,24.2,86,3.4
1/1/2015,3:00:00,null,24,86,3.3
1/1/2015,4:00:00,null,23.5,88,2.9
1/1/2015,5:00:00,null,23.6,88,4.1
1/1/2015,6:00:00,null,23.1,90,3.1
1/1/2015,7:00:00,null,22.5,91,2.5
1/1/2015,8:00:00,null,22.1,92,2.1
1/1/2015,9:00:00,null,21.8,93,1.5
1/1/2015,10:00:00,null,24,92,2
1/1/2015,11:00:00,null,27.5,72,6.6
1/1/2015,12:00:00,null,28.4,64,8.2
1/1/2015,13:00:00,null,30.4,55,8.2
1/1/2015,14:00:00,null,32,51,8.4
1/1/2015,15:00:00,null,32.2,50,8.8
1/1/2015,16:00:00,null,32.2,47,11.3
1/1/2015,17:00:00,null,31.3,54,11
1/1/2015,18:00:00,null,31.6,52,11.3
1/1/2015,19:00:00,null,30.2,56,11.1
1/1/2015,20:00:00,null,28.5,63,11.1
1/1/2015,21:00:00,null,27,72,11.1
1/1/2015,22:00:00,null,26.5,76,9.2
1/1/2015,23:00:00,null,26.3,78,8.4
1/2/2015,0:00:00,null,26.1,79,7.3
1/2/2015,1:00:00,null,25.5,81,6
1/2/2015,2:00:00,null,25.1,82,4.6
1/2/2015,3:00:00,null,23.9,85,2.5
1/2/2015,4:00:00,null,23.2,88,1.8
1/2/2015,5:00:00,null,23.2,88,1.7
1/2/2015,6:00:00,null,23.5,89,1.6
1/2/2015,7:00:00,null,23.2,90,2.7
1/2/2015,8:00:00,null,22.9,91,3
1/2/2015,9:00:00,null,22.5,92,2.8
1/2/2015,10:00:00,null,24.7,88,3.5
1/2/2015,11:00:00,null,27.6,70,6.4
1/2/2015,12:00:00,null,29.4,58,6.5
1/2/2015,13:00:00,null,31,47,7.5
1/2/2015,14:00:00,324.912,32.5,41,8.9
1/2/2015,15:00:00,null,32.5,40,10.1
1/2/2015,16:00:00,null,32.4,46,10
1/2/2015,17:00:00,null,33.2,44,9.3
1/2/2015,18:00:00,null,32.5,45,9.8
1/2/2015,19:00:00,null,30.7,50,9.9
1/2/2015,20:00:00,null,28.8,58,9.8
1/2/2015,21:00:00,null,27,65,10
1/2/2015,22:00:00,null,26,71,8.4
1/2/2015,23:00:00,null,25.5,72,6
1/3/2015,0:00:00,null,24.8,76,2.9
1/3/2015,1:00:00,null,24.9,78,2.8
1/3/2015,2:00:00,null,24.5,78,1.5
1/3/2015,3:00:00,null,23.8,80,1.9
1/3/2015,4:00:00,null,23.8,82,1.9
1/3/2015,5:00:00,null,23.6,83,2.2
1/3/2015,6:00:00,null,23.8,84,2.3
1/3/2015,7:00:00,null,23.2,86,2.3
1/3/2015,8:00:00,null,23,88,2.5
1/3/2015,9:00:00,null,22.2,88,2.5
1/3/2015,10:00:00,null,24,87,1
1/3/2015,11:00:00,null,26,75,2.2
1/3/2015,12:00:00,null,27.8,64,5
1/3/2015,13:00:00,null,28.6,59,6.9
1/3/2015,14:00:00,null,28.4,59,6.1
1/3/2015,15:00:00,null,28.6,58,6.1
1/3/2015,16:00:00,null,27.3,67,5.3
1/3/2015,17:00:00,null,27.4,70,7.9
1/3/2015,18:00:00,null,24.6,83,7.9
1/3/2015,19:00:00,null,25.7,76,6.7
1/3/2015,20:00:00,null,25.9,75,5.5
1/3/2015,21:00:00,null,25.4,83,5.1
1/3/2015,22:00:00,null,25.2,85,4
1/3/2015,23:00:00,null,24.9,84,2.6
1/4/2015,0:00:00,null,24.3,85,2.5
1/4/2015,1:00:00,null,24.1,88,2.1
1/4/2015,2:00:00,null,23.5,89,1.8
1/4/2015,3:00:00,null,23.2,90,1.4
1/4/2015,4:00:00,null,23,91,1.5
1/4/2015,5:00:00,null,22.7,92,1.7
1/4/2015,6:00:00,null,22.6,92,1.9
1/4/2015,7:00:00,null,22.2,93,2.3
1/4/2015,8:00:00,null,22.1,94,2.3
1/4/2015,9:00:00,null,22.7,94,2.2
1/4/2015,10:00:00,null,25,91,2.5
1/4/2015,11:00:00,null,27.1,72,6.2
1/4/2015,12:00:00,null,28.2,64,7
1/4/2015,13:00:00,null,30.7,53,10
1/4/2015,14:00:00,null,31.1,47,9.3
1/4/2015,15:00:00,null,30.4,51,9.5
1/4/2015,16:00:00,null,32.4,42,10.4
1/4/2015,17:00:00,null,30.1,48,10.4
1/4/2015,18:00:00,null,29.9,49,10
1/4/2015,19:00:00,null,29.9,50,10.2
1/4/2015,20:00:00,null,28.5,50,9
1/4/2015,21:00:00,null,27.2,60,8
1/4/2015,22:00:00,null,26.1,68,7.4
1/4/2015,23:00:00,null,25.5,72,5.3
1/5/2015,0:00:00,null,24.9,76,3.1
1/5/2015,1:00:00,null,24.3,79,2.1
1/5/2015,2:00:00,null,24.4,80,3.3
1/5/2015,3:00:00,null,24.1,81,3.3
1/5/2015,4:00:00,null,24,82,3.3
1/5/2015,5:00:00,null,23.6,83,3.3
1/5/2015,6:00:00,null,22.8,86,3.6
1/5/2015,7:00:00,null,22.5,88,3
1/5/2015,8:00:00,null,22,90,3.4
1/5/2015,9:00:00,null,21.8,91,3.8
1/5/2015,10:00:00,null,24.6,84,4.7
1/5/2015,11:00:00,null,27.8,68,7.1
1/5/2015,12:00:00,null,28.8,58,9.1
1/5/2015,13:00:00,null,29.9,51,9.5
1/5/2015,14:00:00,null,31.1,43,9.5
1/5/2015,15:00:00,null,32.4,37,9.8
1/5/2015,16:00:00,null,33.4,35,9.8
1/5/2015,17:00:00,19.221,33.7,42,10.6
1/5/2015,18:00:00,null,32.1,41,10.3
1/5/2015,19:00:00,null,30.5,42,10.9
1/5/2015,20:00:00,null,28.7,53,11
1/5/2015,21:00:00,null,27.1,65,11.5
1/5/2015,22:00:00,null,26.4,69,10.7
1/5/2015,23:00:00,null,25.9,74,8.6
1/6/2015,0:00:00,null,25.6,77,7.4
1/6/2015,1:00:00,null,25.1,80,6.5
1/6/2015,2:00:00,null,24.4,82,5.4
1/6/2015,3:00:00,null,23.6,86,4.6
1/6/2015,4:00:00,null,23.6,87,5.1
1/6/2015,5:00:00,null,23.6,88,4.6
1/6/2015,6:00:00,null,23.7,88,5.6
1/6/2015,7:00:00,null,23.5,89,6.3
1/6/2015,8:00:00,null,23.3,90,5.1
1/6/2015,9:00:00,null,23.4,90,3.9
1/6/2015,10:00:00,null,25,86,3.9
1/6/2015,11:00:00,null,27.5,74,7.3
1/6/2015,12:00:00,null,28.2,65,9.6
1/6/2015,13:00:00,null,30.4,56,8.6
1/6/2015,14:00:00,null,32.1,48,8.6
1/6/2015,15:00:00,null,32.7,44,10.4
1/6/2015,16:00:00,null,32.4,44,10.1
1/6/2015,17:00:00,null,32.9,46,10
1/6/2015,18:00:00,null,34.1,44,11
1/6/2015,19:00:00,null,31.7,54,10.5
1/6/2015,20:00:00,null,29,63,10.5
1/6/2015,21:00:00,null,27.8,69,10.5
1/6/2015,22:00:00,null,26.9,75,8.9
1/6/2015,23:00:00,null,26.3,80,7.3
1/7/2015,0:00:00,null,25.9,83,6.4
1/7/2015,1:00:00,null,25.6,84,5.2
1/7/2015,2:00:00,null,25.5,84,5.9
1/7/2015,3:00:00,null,25.4,84,5.9
1/7/2015,4:00:00,null,25.3,83,5
1/7/2015,5:00:00,null,25,83,5.1
1/7/2015,6:00:00,null,25,85,4.7
1/7/2015,7:00:00,null,24.7,86,4
1/7/2015,8:00:00,null,24.7,87,4.6
1/7/2015,9:00:00,null,24.9,85,7.3
1/7/2015,10:00:00,null,25.4,83,6.4
1/7/2015,11:00:00,null,26.6,74,11.7
1/7/2015,12:00:00,null,28.2,69,9.9
1/7/2015,13:00:00,null,28,68,10.1
1/7/2015,14:00:00,null,28.3,69,10.1
1/7/2015,15:00:00,null,30,58,11.4
1/7/2015,16:00:00,null,32.2,54,10.9
1/7/2015,17:00:00,null,31.8,55,11.7
1/7/2015,18:00:00,null,30.8,56,11.8
1/7/2015,19:00:00,null,30,57,12.2
1/7/2015,20:00:00,null,28.6,64,11.4
1/7/2015,21:00:00,null,27.1,69,11.4
1/7/2015,22:00:00,null,26.2,76,9.8
1/7/2015,23:00:00,null,25.6,80,8.3
1/8/2015,0:00:00,null,25.1,82,7
1/8/2015,1:00:00,null,24.8,84,6.4
1/8/2015,2:00:00,null,24.5,86,5.5
1/8/2015,3:00:00,null,24.4,86,5.4
1/8/2015,4:00:00,null,23.8,88,4.4
1/8/2015,5:00:00,null,23.7,89,5.4
1/8/2015,6:00:00,null,23.5,89,5.4
1/8/2015,7:00:00,null,23.1,90,4.6
1/8/2015,8:00:00,null,23.3,90,4.4
1/8/2015,9:00:00,null,23.3,90,4.4
1/8/2015,10:00:00,null,25.6,82,6.5
1/8/2015,11:00:00,null,27.6,68,8.7
1/8/2015,12:00:00,null,28.7,60,9.9
1/8/2015,13:00:00,null,29.5,58,10.8
1/8/2015,14:00:00,null,31.6,50,10.4
1/8/2015,15:00:00,null,31.5,51,11
1/8/2015,16:00:00,0.385,32,50,11
1/8/2015,17:00:00,null,32.4,48,10.8
1/8/2015,18:00:00,null,31.9,51,11.8
1/8/2015,19:00:00,null,30.7,56,11.7
1/8/2015,20:00:00,null,29.4,59,11.8
1/8/2015,21:00:00,null,27.5,68,11.7
1/8/2015,22:00:00,null,26.4,76,10
1/8/2015,23:00:00,null,25.8,80,7.7
1/9/2015,0:00:00,null,25.3,81,6.1
1/9/2015,1:00:00,null,24.5,84,5.6
1/9/2015,2:00:00,null,24.5,86,4.7
1/9/2015,3:00:00,null,24.4,87,5.4
1/9/2015,4:00:00,null,24.1,89,6.3
1/9/2015,5:00:00,null,24.1,89,5.6
1/9/2015,6:00:00,null,23.8,90,5.4
1/9/2015,7:00:00,null,23.6,90,4.3
1/9/2015,8:00:00,null,23.6,91,4.2
1/9/2015,9:00:00,null,23.7,90,4
1/9/2015,10:00:00,null,25.4,85,4.2
1/9/2015,11:00:00,null,27.5,72,8.3
1/9/2015,12:00:00,null,29.6,59,10.2
1/9/2015,13:00:00,null,30.4,53,9.1
1/9/2015,14:00:00,null,32.8,43,9.6
1/9/2015,15:00:00,null,33.3,40,9.9
1/9/2015,16:00:00,null,33.6,44,9.5
1/9/2015,17:00:00,null,33.7,43,10.8
1/9/2015,18:00:00,null,32.1,50,11.6
1/9/2015,19:00:00,null,31.3,52,11.9
1/9/2015,20:00:00,null,29.9,56,11.8
1/9/2015,21:00:00,null,27.8,66,11.4
1/9/2015,22:00:00,null,26.8,73,10.8
1/9/2015,23:00:00,null,26.3,74,8
1/10/2015,0:00:00,null,26,77,6.6
1/10/2015,1:00:00,null,25.7,80,6.7
1/10/2015,2:00:00,null,25.5,82,5.4
1/10/2015,3:00:00,null,25.4,82,5.4
1/10/2015,4:00:00,null,25.6,82,5.2
1/10/2015,5:00:00,null,25.5,83,5.7
1/10/2015,6:00:00,null,25.6,82,6.6
1/10/2015,7:00:00,null,25.9,80,8.4
1/10/2015,8:00:00,null,26,79,8.4
1/10/2015,9:00:00,null,26.1,78,8.2
1/10/2015,10:00:00,null,26.8,74,9.2
1/10/2015,11:00:00,null,28.5,62,11.7
1/10/2015,12:00:00,null,29.9,54,11.6
1/10/2015,13:00:00,null,30.9,48,10.1
1/10/2015,14:00:00,null,33.4,41,10.6
1/10/2015,15:00:00,null,34.6,37,9.2
1/10/2015,16:00:00,null,34.8,40,8.9
1/10/2015,17:00:00,null,33.7,45,9.9
1/10/2015,18:00:00,null,33.5,46,11.5
1/10/2015,19:00:00,null,31.8,51,11.6
1/10/2015,20:00:00,null,30.1,56,11.4
1/10/2015,21:00:00,null,27.7,68,10
1/10/2015,22:00:00,null,27,73,11.5
1/10/2015,23:00:00,null,26.6,78,10.1
1/11/2015,0:00:00,null,26.5,78,9.1
1/11/2015,1:00:00,null,26.5,78,8.2
1/11/2015,2:00:00,null,26.5,78,8.7
1/11/2015,3:00:00,null,26.2,80,7.9
1/11/2015,4:00:00,null,25.9,81,8.6
1/11/2015,5:00:00,null,25.5,82,6.8
1/11/2015,6:00:00,null,25.2,82,5.4
1/11/2015,7:00:00,null,25.1,82,4.6
1/11/2015,8:00:00,null,24.8,83,4.2
1/11/2015,9:00:00,null,24.8,84,3.5
1/11/2015,10:00:00,null,27,78,7.9
1/11/2015,11:00:00,null,27.8,69,9.6
1/11/2015,12:00:00,null,29.7,61,11.8
1/11/2015,13:00:00,null,31.2,52,11.8
1/11/2015,14:00:00,null,33.9,45,11.9
1/11/2015,15:00:00,null,32.4,55,11.9
1/11/2015,16:00:00,null,28.7,73,11.8
1/11/2015,17:00:00,null,28.7,70,12.2
1/11/2015,18:00:00,null,28.4,67,12.3
1/11/2015,19:00:00,null,28.9,64,13.3
1/11/2015,20:00:00,null,28,66,12.5
1/11/2015,21:00:00,null,27.2,70,10.2
1/11/2015,22:00:00,null,26.4,76,11.2
1/11/2015,23:00:00,null,26,78,10
1/12/2015,0:00:00,null,25.7,80,8.4
1/12/2015,1:00:00,null,25.5,80,6.8
1/12/2015,2:00:00,null,24.9,83,6.8
1/12/2015,3:00:00,null,24.5,84,6
1/12/2015,4:00:00,null,24,86,5.4
1/12/2015,5:00:00,null,23.7,88,5.1
1/12/2015,6:00:00,null,23.5,89,4.8
1/12/2015,7:00:00,null,23.7,89,5.1
1/12/2015,8:00:00,null,23.5,90,5
1/12/2015,9:00:00,null,23.9,89,5.9
1/12/2015,10:00:00,null,25.8,82,7.4
1/12/2015,11:00:00,null,28.4,68,10.3
1/12/2015,12:00:00,null,30,58,11
1/12/2015,13:00:00,null,30.9,51,10.3
1/12/2015,14:00:00,null,32,48,10.4
1/12/2015,15:00:00,null,33.4,45,11
1/12/2015,16:00:00,null,34.5,41,10.5
1/12/2015,17:00:00,null,33.8,42,11.1
1/12/2015,18:00:00,null,33.2,46,11.1
1/12/2015,19:00:00,null,31.3,53,11.3
1/12/2015,20:00:00,null,30.4,53,11.2
1/12/2015,21:00:00,null,28.5,63,10.4
1/12/2015,22:00:00,null,27.3,70,8.2
1/12/2015,23:00:00,null,26.3,79,8.2
1/13/2015,0:00:00,null,26,80,6.9
1/13/2015,1:00:00,null,25.7,83,5.8
1/13/2015,2:00:00,null,25.3,85,5.8
1/13/2015,3:00:00,null,25.1,86,5.1
1/13/2015,4:00:00,null,24.8,88,4.5
1/13/2015,5:00:00,null,24.8,87,4.1
1/13/2015,6:00:00,null,24.7,88,4.6
1/13/2015,7:00:00,null,24.5,89,4.4
1/13/2015,8:00:00,null,24.4,89,5.1
1/13/2015,9:00:00,null,24.1,90,4.7
1/13/2015,10:00:00,null,25.8,84,5.5
1/13/2015,11:00:00,null,28.3,66,11.9
1/13/2015,12:00:00,6.205,30.7,57,11.4
1/13/2015,13:00:00,null,31.2,55,11.4
1/13/2015,14:00:00,null,30.6,56,10.3
1/13/2015,15:00:00,null,33.1,46,10.1
1/13/2015,16:00:00,null,34.1,39,12.9
1/13/2015,17:00:00,null,33.5,45,12.6
1/13/2015,18:00:00,null,33.1,46,12.7
1/13/2015,19:00:00,null,31.9,48,13.2
1/13/2015,20:00:00,null,30.8,49,13.3
1/13/2015,21:00:00,null,28.5,61,12
1/13/2015,22:00:00,null,27.2,71,11.3
1/13/2015,23:00:00,null,26.6,76,9.9
1/14/2015,0:00:00,null,26.4,78,10.1
1/14/2015,1:00:00,null,26.3,78,9.8
1/14/2015,2:00:00,null,26.1,79,8.6
1/14/2015,3:00:00,null,25.9,79,8.6
1/14/2015,4:00:00,null,25.6,81,8.8
1/14/2015,5:00:00,null,25.5,78,8.1
1/14/2015,6:00:00,null,25.1,81,7.6
1/14/2015,7:00:00,null,24.7,82,7.4
1/14/2015,8:00:00,null,24.5,83,5.4
1/14/2015,9:00:00,null,24.1,85,5.4
1/14/2015,10:00:00,null,25.9,77,7.1
1/14/2015,11:00:00,null,28.1,64,10.5
1/14/2015,12:00:00,null,29.4,57,11.1
1/14/2015,13:00:00,null,31.8,49,11.9
1/14/2015,14:00:00,null,33.1,43,11.1
1/14/2015,15:00:00,null,33.6,39,11.2
1/14/2015,16:00:00,null,34.7,34,10.7
1/14/2015,17:00:00,null,33.8,36,11.9
1/14/2015,18:00:00,null,33,35,12
1/14/2015,19:00:00,null,30.7,49,11.2
1/14/2015,20:00:00,null,29.3,56,11.8
1/14/2015,21:00:00,null,27.8,64,10.1
1/14/2015,22:00:00,null,26.9,72,10
1/14/2015,23:00:00,null,26,77,7.8
1/15/2015,0:00:00,null,25.7,80,7.6
1/15/2015,1:00:00,null,25.6,80,7.8
1/15/2015,2:00:00,null,25.4,81,7.7
1/15/2015,3:00:00,null,25.4,79,7.4
1/15/2015,4:00:00,null,25,80,7.4
1/15/2015,5:00:00,null,24.9,80,8
1/15/2015,6:00:00,null,24.7,79,8
1/15/2015,7:00:00,null,24.1,81,8.3
1/15/2015,8:00:00,null,24,83,6.6
1/15/2015,9:00:00,null,23.7,84,5.7
1/15/2015,10:00:00,null,25.7,77,6
1/15/2015,11:00:00,null,27.3,70,10.1
1/15/2015,12:00:00,null,29.2,60,11.4
1/15/2015,13:00:00,null,31,51,11.6
1/15/2015,14:00:00,null,32.8,41,9.9
1/15/2015,15:00:00,null,34.2,36,11.2
1/15/2015,16:00:00,null,34,41,12.3
1/15/2015,17:00:00,null,33.4,40,12.3
1/15/2015,18:00:00,null,32.6,41,12.4
1/15/2015,19:00:00,null,31.6,44,13.5
1/15/2015,20:00:00,null,29.5,55,11.9
1/15/2015,21:00:00,null,27.4,65,11.4
1/15/2015,22:00:00,null,26.4,70,11.2
1/15/2015,23:00:00,null,26,73,9
1/16/2015,0:00:00,null,25.7,77,7.7
1/16/2015,1:00:00,null,25.4,80,7.2
1/16/2015,2:00:00,null,25,83,7
1/16/2015,3:00:00,null,24.9,83,6.9
1/16/2015,4:00:00,null,24.5,85,6.3
1/16/2015,5:00:00,null,24.4,87,4.8
1/16/2015,6:00:00,null,24,87,5
1/16/2015,7:00:00,null,23.8,87,5
1/16/2015,8:00:00,null,23.4,89,3.8
1/16/2015,9:00:00,null,23.1,89,4.2
1/16/2015,10:00:00,null,25.4,83,5.6
1/16/2015,11:00:00,null,27.9,68,10.6
1/16/2015,12:00:00,null,30.2,55,10.8
1/16/2015,13:00:00,null,32.6,45,10.5
1/16/2015,14:00:00,null,32.9,43,9.9
1/16/2015,15:00:00,null,34.4,38,11.9
1/16/2015,16:00:00,null,34.5,40,10.3
1/16/2015,17:00:00,null,33.3,44,10
1/16/2015,18:00:00,null,34.3,40,10.3
1/16/2015,19:00:00,null,32.5,45,11.5
1/16/2015,20:00:00,null,31.4,45,11.7
1/16/2015,21:00:00,null,29.2,49,10.9
1/16/2015,22:00:00,null,27.4,66,10.8
1/16/2015,23:00:00,null,26.4,70,9.5
1/17/2015,0:00:00,null,26.3,77,7.4
1/17/2015,1:00:00,null,26,81,6.9
1/17/2015,2:00:00,null,25.2,84,5.4
1/17/2015,3:00:00,null,25.1,84,4.8
1/17/2015,4:00:00,null,24.7,86,4.5
1/17/2015,5:00:00,null,24.7,86,3.8
1/17/2015,6:00:00,null,25.1,85,5.5
1/17/2015,7:00:00,null,25,86,5.5
1/17/2015,8:00:00,null,25,86,4.1
1/17/2015,9:00:00,null,25.1,86,3.7
1/17/2015,10:00:00,null,25.9,82,5.6
1/17/2015,11:00:00,null,28.2,70,7.8
1/17/2015,12:00:00,null,29.2,60,9
1/17/2015,13:00:00,null,32,51,10.9
1/17/2015,14:00:00,null,32.3,49,11.3
1/17/2015,15:00:00,null,33.2,47,9.6
1/17/2015,16:00:00,null,33.5,49,11.5
1/17/2015,17:00:00,null,33.7,44,12.2
1/17/2015,18:00:00,null,32.4,48,12.2
1/17/2015,19:00:00,null,31.1,52,12.3
1/17/2015,20:00:00,null,29.8,58,13.1
1/17/2015,21:00:00,null,28.1,64,12.9
1/17/2015,22:00:00,null,27,73,11.2
1/17/2015,23:00:00,null,26.4,80,10
1/18/2015,0:00:00,null,26.1,81,10
1/18/2015,1:00:00,null,26,81,7.9
1/18/2015,2:00:00,null,25.8,81,7.4
1/18/2015,3:00:00,null,25.8,81,8.5
1/18/2015,4:00:00,null,25.7,81,8.1
1/18/2015,5:00:00,null,25.6,82,7.1
1/18/2015,6:00:00,null,25.6,81,6.9
1/18/2015,7:00:00,null,25.3,82,6.8
1/18/2015,8:00:00,null,25.4,82,5
1/18/2015,9:00:00,null,25.5,83,4.3
1/18/2015,10:00:00,null,26.7,79,4.3
1/18/2015,11:00:00,null,28.6,68,8.3
1/18/2015,12:00:00,null,27.2,80,9.4
1/18/2015,13:00:00,null,27.9,82,9.5
1/18/2015,14:00:00,null,30.6,64,10.6
1/18/2015,15:00:00,null,32,55,11.5
1/18/2015,16:00:00,561.76,31.8,55,12.6
1/18/2015,17:00:00,1432.114,26.4,82,12.5
1/18/2015,18:00:00,null,28.4,71,8.5
1/18/2015,19:00:00,null,28.2,70,10.1
1/18/2015,20:00:00,null,27.5,73,10.9
1/18/2015,21:00:00,null,26.5,78,10.6
1/18/2015,22:00:00,null,26.1,80,8.8
1/18/2015,23:00:00,null,25.7,82,7.8
1/19/2015,0:00:00,null,25.5,83,7
1/19/2015,1:00:00,null,25.3,83,7.5
1/19/2015,2:00:00,null,24.9,84,5.3
1/19/2015,3:00:00,null,24.6,85,5.6
1/19/2015,4:00:00,null,24.3,86,4.5
1/19/2015,5:00:00,null,23.8,88,4.5
1/19/2015,6:00:00,null,23.6,88,3.4
1/19/2015,7:00:00,null,23.4,89,3.4
1/19/2015,8:00:00,null,23.4,90,3.7
1/19/2015,9:00:00,null,23.4,90,3.9
1/19/2015,10:00:00,null,24.8,87,3.6
1/19/2015,11:00:00,null,27.5,75,8.1
1/19/2015,12:00:00,null,28.2,69,10.1
1/19/2015,13:00:00,null,30.6,57,9.9
1/19/2015,14:00:00,null,32.4,47,10.3
1/19/2015,15:00:00,null,32.4,45,12.2
1/19/2015,16:00:00,null,32.3,47,12.6
1/19/2015,17:00:00,null,32.6,45,11.6
1/19/2015,18:00:00,null,31.6,50,12.2
1/19/2015,19:00:00,null,31.7,50,13.4
1/19/2015,20:00:00,null,29.5,57,11.6
1/19/2015,21:00:00,null,27.6,66,12.3
1/19/2015,22:00:00,null,26.6,73,8
1/19/2015,23:00:00,null,25.9,79,6.9
1/20/2015,0:00:00,null,25.3,82,5
1/20/2015,1:00:00,null,25,83,3.7
1/20/2015,2:00:00,null,24.7,85,2.6
1/20/2015,3:00:00,null,24.3,86,3.4
1/20/2015,4:00:00,null,23.8,88,3.4
1/20/2015,5:00:00,null,23.5,90,2.9
1/20/2015,6:00:00,null,23.2,91,3.9
1/20/2015,7:00:00,null,23.1,91,3.3
1/20/2015,8:00:00,null,22.8,92,2.6
1/20/2015,9:00:00,null,22.6,93,2.7
1/20/2015,10:00:00,null,24,92,4.1
1/20/2015,11:00:00,null,27.3,73,9
1/20/2015,12:00:00,null,29.6,59,9.6
1/20/2015,13:00:00,null,31.5,49,9.6
1/20/2015,14:00:00,null,32.3,45,8.7
1/20/2015,15:00:00,null,34.2,40,11.3
1/20/2015,16:00:00,null,33.3,45,9.8
1/20/2015,17:00:00,null,33.3,42,11.6
1/20/2015,18:00:00,null,32.7,44,11.6
1/20/2015,19:00:00,null,31.3,52,11.4
1/20/2015,20:00:00,null,29.9,55,11.9
1/20/2015,21:00:00,null,28.2,65,9.8
1/20/2015,22:00:00,null,26.9,73,9.7
1/20/2015,23:00:00,null,26.1,80,8.5
1/21/2015,0:00:00,null,25.6,81,7.4
1/21/2015,1:00:00,null,25.3,84,5
1/21/2015,2:00:00,null,25,86,4.5
1/21/2015,3:00:00,null,24.9,87,4.1
1/21/2015,4:00:00,null,24.6,88,4.4
1/21/2015,5:00:00,null,24,89,3.7
1/21/2015,6:00:00,null,23.4,91,2.7
1/21/2015,7:00:00,null,23.2,91,2.6
1/21/2015,8:00:00,null,23.1,92,3.1
1/21/2015,9:00:00,null,23.9,92,4
1/21/2015,10:00:00,null,24.7,89,5
1/21/2015,11:00:00,null,27.2,76,7.2
1/21/2015,12:00:00,null,29.2,64,10
1/21/2015,13:00:00,null,31.8,51,10.1
1/21/2015,14:00:00,null,32.2,49,10.4
1/21/2015,15:00:00,null,33.1,45,9.8
1/21/2015,16:00:00,null,32.1,47,12
1/21/2015,17:00:00,null,33,46,12
1/21/2015,18:00:00,null,32,50,12
1/21/2015,19:00:00,null,28.8,57,13.8
1/21/2015,20:00:00,null,28.8,63,10.5
1/21/2015,21:00:00,null,27.6,70,10.7
1/21/2015,22:00:00,null,26.9,76,9.7
1/21/2015,23:00:00,null,26.5,79,8.1
1/22/2015,0:00:00,null,26.2,80,6.3
1/22/2015,1:00:00,null,25.7,82,4.3
1/22/2015,2:00:00,null,24.9,85,2.6
1/22/2015,3:00:00,null,24.2,87,2.4
1/22/2015,4:00:00,null,24,89,3
1/22/2015,5:00:00,null,23.4,90,3.2
1/22/2015,6:00:00,null,23.4,91,3.5
1/22/2015,7:00:00,null,23.6,91,3.3
1/22/2015,8:00:00,null,23.7,91,2.9
1/22/2015,9:00:00,null,23.5,92,4.1
1/22/2015,10:00:00,null,25.7,83,7.1
1/22/2015,11:00:00,null,27.8,68,8.8
1/22/2015,12:00:00,null,29.9,57,10.9
1/22/2015,13:00:00,null,30.8,52,10.9
1/22/2015,14:00:00,null,32.8,41,9.6
1/22/2015,15:00:00,null,33.9,33,11.9
1/22/2015,16:00:00,null,33.8,37,10.9
1/22/2015,17:00:00,null,null,null,null
1/22/2015,18:00:00,null,33,39,12
1/22/2015,19:00:00,null,31.6,41,11.2
1/22/2015,20:00:00,null,29.8,45,12
1/22/2015,21:00:00,null,27.7,59,10.7
1/22/2015,22:00:00,null,26.5,68,8.3
1/22/2015,23:00:00,null,25.8,73,6
1/23/2015,0:00:00,null,25.2,77,5.1
1/23/2015,1:00:00,null,24.9,79,4.9
1/23/2015,2:00:00,null,24.8,81,5.3
1/23/2015,3:00:00,null,24.8,82,5.4
1/23/2015,4:00:00,null,24.6,82,5.3
1/23/2015,5:00:00,null,24.2,84,3.9
1/23/2015,6:00:00,null,23.9,85,3.7
1/23/2015,7:00:00,null,23.8,85,3.2
1/23/2015,8:00:00,null,23.6,86,2.6
1/23/2015,9:00:00,null,23.4,87,2.5
1/23/2015,10:00:00,null,25.3,81,4.4
1/23/2015,11:00:00,null,27.9,66,8.5
1/23/2015,12:00:00,null,28.8,60,10.6
1/23/2015,13:00:00,null,31.5,50,11.3
1/23/2015,14:00:00,null,32.4,42,11.4
1/23/2015,15:00:00,null,31.5,44,12.5
1/23/2015,16:00:00,null,33.1,41,12.7
1/23/2015,17:00:00,null,32.7,42,12
1/23/2015,18:00:00,null,32.4,43,11.7
1/23/2015,19:00:00,null,30.7,49,13.1
1/23/2015,20:00:00,null,29.2,54,12
1/23/2015,21:00:00,null,28.1,59,11
1/23/2015,22:00:00,null,26.8,67,10.7
1/23/2015,23:00:00,null,26.3,72,8.7
1/24/2015,0:00:00,null,26.2,72,7.3
1/24/2015,1:00:00,null,25.8,75,6.5
1/24/2015,2:00:00,null,25.2,78,4.6
1/24/2015,3:00:00,null,24.8,80,4.6
1/24/2015,4:00:00,null,24.4,82,4.6
1/24/2015,5:00:00,null,24.5,82,3.7
1/24/2015,6:00:00,null,24.4,83,4
1/24/2015,7:00:00,null,24.3,84,4.5
1/24/2015,8:00:00,null,24,86,3.9
1/24/2015,9:00:00,null,23.9,87,3.5
1/24/2015,10:00:00,null,24.7,86,3.3
1/24/2015,11:00:00,null,27,75,7.1
1/24/2015,12:00:00,null,29.4,66,7.9
